age,gender,race,age_cat,priors_count,juv_fel_count,juv_misd_count,c_charge_degree,decile_score,two_year_recid
69,Male,Other,Greater than 45,0,0,0,F,1,0
34,Male,African-American,25 - 45,0,0,0,F,3,1
24,Male,African-American,Less than 25,4,0,0,F,4,1
23,Male,African-American,Less than 25,1,0,1,F,8,0
43,Male,Other,25 - 45,2,0,0,F,1,0
44,Male,Other,25 - 45,0,0,0,M,1,0
41,Male,Caucasian,25 - 45,14,0,0,F,6,1
43,Male,Other,25 - 45,3,0,0,F,4,0
39,Female,Caucasian,25 - 45,0,0,0,M,1,0
21,Male,Caucasian,Less than 25,1,0,0,F,3,1
27,Male,Caucasian,25 - 45,0,0,0,F,4,0
23,Male,African-American,Less than 25,3,0,0,M,6,1
37,Female,Caucasian,25 - 45,0,0,0,M,1,0
41,Male,African-American,25 - 45,0,0,0,F,4,0
47,Female,Caucasian,Greater than 45,1,0,0,F,1,1
31,Male,African-American,25 - 45,7,0,0,F,3,1
37,Male,Hispanic,25 - 45,0,0,0,M,1,0
25,Male,African-American,25 - 45,3,0,0,F,10,0
31,Male,Caucasian,25 - 45,6,0,0,F,5,1
31,Male,Caucasian,25 - 45,5,0,0,F,3,1
64,Male,African-American,Greater than 45,13,0,0,F,6,1
21,Male,African-American,Less than 25,1,0,0,F,9,1
27,Male,Caucasian,25 - 45,0,0,0,M,2,1
21,Female,Caucasian,Less than 25,0,0,0,F,4,0
24,Male,Hispanic,Less than 25,1,0,0,F,4,1
43,Male,Caucasian,25 - 45,1,0,0,M,1,0
32,Male,Other,25 - 45,0,0,0,M,3,0
27,Male,African-American,25 - 45,8,0,0,F,3,1
36,Female,Caucasian,25 - 45,3,0,0,F,3,0
26,Male,African-American,25 - 45,5,0,0,F,7,1
33,Male,African-American,25 - 45,0,0,0,F,10,1
30,Male,Caucasian,25 - 45,9,0,0,F,9,1
32,Male,African-American,25 - 45,4,0,0,F,8,1
55,Male,Caucasian,Greater than 45,0,0,0,F,1,0
49,Male,Other,Greater than 45,7,0,0,F,3,1
26,Male,Caucasian,25 - 45,6,0,0,M,8,0
33,Female,Caucasian,25 - 45,4,0,0,M,5,1
24,Male,Caucasian,Less than 25,1,0,0,M,2,1
34,Male,African-American,25 - 45,21,2,1,F,9,1
29,Male,Caucasian,25 - 45,0,0,0,M,2,0
21,Female,African-American,Less than 25,2,0,0,F,8,0
51,Male,African-American,Greater than 45,2,0,0,M,1,0
29,Male,Caucasian,25 - 45,2,0,0,M,2,1
51,Female,African-American,Greater than 45,7,0,0,F,2,0
29,Male,African-American,25 - 45,0,0,0,F,7,1
25,Male,Caucasian,25 - 45,9,0,0,M,10,1
35,Male,African-American,25 - 45,13,1,0,F,8,1
49,Male,Caucasian,Greater than 45,0,0,0,M,1,0
34,Male,African-American,25 - 45,4,0,0,M,3,1
29,Male,African-American,25 - 45,0,0,0,F,4,0
29,Male,Caucasian,25 - 45,1,0,0,F,2,1
28,Female,Other,25 - 45,0,0,0,F,2,0
48,Male,Caucasian,Greater than 45,20,0,0,F,6,1
63,Female,Hispanic,Greater than 45,1,0,0,F,1,0
31,Male,African-American,25 - 45,15,0,0,F,5,0
24,Male,African-American,Less than 25,2,0,0,F,4,1
30,Male,Hispanic,25 - 45,0,0,0,M,7,0
49,Male,African-American,Greater than 45,4,0,0,M,1,0
53,Male,Caucasian,Greater than 45,8,0,0,F,5,0
35,Male,African-American,25 - 45,5,0,0,F,3,0
